"Notes"	"Census Region"	"Census Region Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Census Region 3: South"	"CENS-R3"	"May, 2019"	"2019/05"	94016	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jun., 2019"	"2019/06"	89900	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jul., 2019"	"2019/07"	91381	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Aug., 2019"	"2019/08"	90714	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Sep., 2019"	"2019/09"	88208	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Oct., 2019"	"2019/10"	93494	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Nov., 2019"	"2019/11"	94802	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Dec., 2019"	"2019/12"	101574	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jan., 2020 "	"2020/01"	104050	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Feb., 2020 "	"2020/02"	96412	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Mar., 2020 "	"2020/03"	103863	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Apr., 2020 "	"2020/04"	106824	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"May, 2020 "	"2020/05"	106649	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jun., 2020 "	"2020/06"	101300	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jul., 2020 "	"2020/07"	121530	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Aug., 2020 "	"2020/08"	120059	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Sep., 2020 "	"2020/09"	107071	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Oct., 2020 "	"2020/10"	111643	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Nov., 2020 "	"2020/11"	116992	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Dec., 2020 "	"2020/12"	139145	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jan., 2018"	"2018/01"	57327	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Feb., 2018"	"2018/02"	46653	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Mar., 2018"	"2018/03"	51541	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Apr., 2018"	"2018/04"	46705	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"May, 2018"	"2018/05"	45563	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jun., 2018"	"2018/06"	44433	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jul., 2018"	"2018/07"	45333	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Aug., 2018"	"2018/08"	44782	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Sep., 2018"	"2018/09"	43244	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Oct., 2018"	"2018/10"	45670	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Nov., 2018"	"2018/11"	46284	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Dec., 2018"	"2018/12"	49422	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jan., 2019"	"2019/01"	52430	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Feb., 2019"	"2019/02"	47451	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Mar., 2019"	"2019/03"	52256	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Apr., 2019"	"2019/04"	47599	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"May, 2019"	"2019/05"	48076	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jun., 2019"	"2019/06"	45606	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jul., 2019"	"2019/07"	45779	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Aug., 2019"	"2019/08"	45152	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Sep., 2019"	"2019/09"	44674	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Oct., 2019"	"2019/10"	47512	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Nov., 2019"	"2019/11"	47416	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Dec., 2019"	"2019/12"	51098	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jan., 2020 "	"2020/01"	53813	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Feb., 2020 "	"2020/02"	49764	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Mar., 2020 "	"2020/03"	53260	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Apr., 2020 "	"2020/04"	54088	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"May, 2020 "	"2020/05"	52550	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jun., 2020 "	"2020/06"	51291	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jul., 2020 "	"2020/07"	58192	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Aug., 2020 "	"2020/08"	57144	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Sep., 2020 "	"2020/09"	51494	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Oct., 2020 "	"2020/10"	53299	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Nov., 2020 "	"2020/11"	58924	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Dec., 2020 "	"2020/12"	79557	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Year/Month: 2018; 2019; 2020"
"Group By: Census Region; Month"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Apr 11, 2023 2:50:06 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Apr 11, 2023 2:50:06 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
